key,en,es
Software,Software Developer,Desarrollador de Software
Home,Home,Inicio
About,About,Información
Experience,Experience,Experiencia
Projects,Projects,Proyectos
Contact,Contact,Contacto
Education,Education,Educación
Skills,Skills,Habilidades
Interests,Interests,Intereses
Languages,Languages,Idiomas
Phone,Phone,Teléfono
Email,Email,Correo
Address,Address,Dirección
Theme,Theme,Tema
Light,Light,Claro
Dark,Dark,Oscuro
Language,Language,Idioma
English,English,Inglés
Spanish,Spanish,Español
Summary,"Programmer willing to work, motivated to advance and extend my skills. Experience with Machine Learning and Full-Stack projects. Knowledge of both low-level and high-level languages.","Programador con ganas de trabajar, motivado para avanzar y extender mis habilidades. Experiencia con proyectos de Machine Learning y Full-Stack. Conocimiento en lenguages tanto de bajo nivel como de alto nivel."
